,Date,cases,deaths,Recovered
0,2020-01-22,1,0,0
1,2020-01-23,1,0,0
2,2020-01-24,2,0,0
3,2020-01-25,3,0,0
4,2020-01-26,5,0,0
5,2020-01-27,5,0,0
6,2020-01-28,5,0,0
7,2020-01-29,5,0,0
8,2020-01-30,6,0,0
9,2020-01-31,7,0,0
10,2020-02-01,8,0,0
11,2020-02-02,11,0,0
12,2020-02-03,11,0,0
13,2020-02-04,11,0,0
14,2020-02-05,12,0,0
15,2020-02-06,12,0,0
16,2020-02-07,12,0,0
17,2020-02-08,12,0,0
18,2020-02-09,12,0,3
19,2020-02-10,13,0,3
20,2020-02-11,13,0,3
21,2020-02-12,14,0,3
22,2020-02-13,15,0,3
23,2020-02-14,15,0,3
24,2020-02-15,15,0,3
25,2020-02-16,15,0,3
26,2020-02-17,25,0,3
27,2020-02-18,25,0,3
28,2020-02-19,25,0,3
29,2020-02-20,27,0,3
30,2020-02-21,30,0,5
31,2020-02-22,30,0,5
32,2020-02-23,30,0,5
33,2020-02-24,43,0,5
34,2020-02-25,45,0,6
35,2020-02-26,60,0,6
36,2020-02-27,60,0,6
37,2020-02-28,65,0,7
38,2020-02-29,70,1,7
39,2020-03-01,88,3,7
40,2020-03-02,104,6,7
41,2020-03-03,125,10,7
42,2020-03-04,161,12,7
43,2020-03-05,228,12,7
44,2020-03-06,311,15,7
45,2020-03-07,428,19,7
46,2020-03-08,547,22,7
47,2020-03-09,748,26,7
48,2020-03-10,1018,31,8
49,2020-03-11,1263,37,8
50,2020-03-12,1668,43,12
51,2020-03-13,2224,50,12
52,2020-03-14,2898,60,12
53,2020-03-15,3600,68,12
54,2020-03-16,4507,91,17
55,2020-03-17,5906,117,17
56,2020-03-18,8350,162,105
57,2020-03-19,12393,212,121
58,2020-03-20,18012,277,147
59,2020-03-21,24528,360,176
60,2020-03-22,33073,458,178
61,2020-03-23,43505,579,178
62,2020-03-24,53938,785,348
63,2020-03-25,68572,1054,361
64,2020-03-26,85570,1353,681
65,2020-03-27,102900,1770,869
66,2020-03-28,123966,2300,1072
67,2020-03-29,142486,2718,2665
68,2020-03-30,163955,3368,5644
69,2020-03-31,188461,4304,7024
70,2020-04-01,215391,5325,8474
71,2020-04-02,245108,6541,9001
72,2020-04-03,277426,7932,9707
73,2020-04-04,312525,9488,14652
74,2020-04-05,338141,10856,17448
75,2020-04-06,369057,12382,19581
76,2020-04-07,399394,14616,21763
77,2020-04-08,431214,16701,23559
78,2020-04-09,465913,18821,25410
79,2020-04-10,499386,21084,28790
80,2020-04-11,531106,23168,31270
81,2020-04-12,558249,24849,32988
82,2020-04-13,584018,26613,43482
83,2020-04-14,610709,29318,47763
84,2020-04-15,640742,32070,52096
85,2020-04-16,672355,34419,54703
86,2020-04-17,703864,36708,58545
87,2020-04-18,732262,38659,64840
88,2020-04-19,757596,40179,70337
89,2020-04-20,784991,42016,72329
90,2020-04-21,810505,44688,75204
91,2020-04-22,839336,47059,77366
92,2020-04-23,873112,49228,80203
93,2020-04-24,909853,51360,99079
94,2020-04-25,944261,53327,100372
95,2020-04-26,970996,54580,106988
96,2020-04-27,994193,56022,111424
97,2020-04-28,1018844,58416,115936
98,2020-04-29,1045399,60930,120720
99,2020-04-30,1075756,63140,153947
100,2020-05-01,1109726,64902,164015
101,2020-05-02,1139200,66485,175382
102,2020-05-03,1165340,67816,180152
103,2020-05-04,1187302,68905,187180
104,2020-05-05,1211011,71139,189791
105,2020-05-06,1235517,73847,189910
106,2020-05-07,1263995,75805,195036
107,2020-05-08,1291643,77380,198993
108,2020-05-09,1316511,78834,212534
109,2020-05-10,1336828,79766,216169
110,2020-05-11,1354449,80748,232733
111,2020-05-12,1376749,82400,230287
112,2020-05-13,1397894,84168,243430
113,2020-05-14,1424856,85906,246414
114,2020-05-15,1451093,87499,250747
115,2020-05-16,1474752,88724,268376
116,2020-05-17,1493766,89568,272265
117,2020-05-18,1515593,90414,283178
118,2020-05-19,1536570,91934,289392
119,2020-05-20,1559640,93411,294312
120,2020-05-21,1585373,94722,298418
121,2020-05-22,1609172,96010,350135
122,2020-05-23,1631440,97060,361239
123,2020-05-24,1651471,97680,366736
124,2020-05-25,1670571,98190,379157
125,2020-05-26,1689467,98937,384902
126,2020-05-27,1708211,100422,391508
127,2020-05-28,1730723,101622,399991
128,2020-05-29,1755271,102812,406446
129,2020-05-30,1778668,103775,416461
130,2020-05-31,1799302,104379,444758
131,2020-06-01,1821199,105113,458231
132,2020-06-02,1841990,106195,463868
133,2020-06-03,1861977,107184,479258
134,2020-06-04,1883593,108192,485002
135,2020-06-05,1912302,109304,491706
136,2020-06-06,1934818,110032,500849
137,2020-06-07,1953434,110422,506367
138,2020-06-08,1971641,111144,518522
139,2020-06-09,1990446,112174,524855
