Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
2022-04-16,Turkey,,14991669,0,98551
2020-01-22,US,,1,0,0
2020-01-23,US,,1,0,0
2020-01-24,US,,2,0,0
2020-01-25,US,,2,0,0
2020-01-26,US,,5,0,0
2020-01-27,US,,5,0,0
2020-01-28,US,,5,0,0
2020-01-29,US,,6,0,0
2020-01-30,US,,6,0,0
2020-01-31,US,,8,0,0
2020-02-01,US,,8,0,0
2020-02-02,US,,8,0,0
2020-02-03,US,,11,0,0
2020-02-04,US,,11,0,0
2020-02-05,US,,11,0,0
2020-02-06,US,,12,0,0
2020-02-07,US,,12,0,0
2020-02-08,US,,12,0,0
2020-02-09,US,,12,3,0
2020-02-10,US,,12,3,0
2020-02-11,US,,13,3,0
2020-02-12,US,,13,3,0
2020-02-13,US,,14,3,0
2020-02-14,US,,14,3,0
2020-02-15,US,,14,3,0
2020-02-16,US,,14,3,0
2020-02-17,US,,14,3,0
2020-02-18,US,,14,3,0
2020-02-19,US,,14,3,0
2020-02-20,US,,14,3,0
2020-02-21,US,,16,5,0
2020-02-22,US,,16,5,0
2020-02-23,US,,16,5,0
2020-02-24,US,,16,5,0
2020-02-25,US,,16,6,0
2020-02-26,US,,16,6,0
2020-02-27,US,,17,6,0
2020-02-28,US,,17,7,0
2020-02-29,US,,25,7,1
2020-03-01,US,,32,7,1
2020-03-02,US,,55,7,6
2020-03-03,US,,74,7,7
2020-03-04,US,,107,7,11
2020-03-05,US,,184,7,12
2020-03-06,US,,237,7,14
2020-03-07,US,,403,7,17
2020-03-08,US,,519,7,21
2020-03-09,US,,594,7,22
2020-03-10,US,,782,8,28
2020-03-11,US,,1147,8,33
2020-03-12,US,,1586,12,43
2020-03-13,US,,2219,12,51
2020-03-14,US,,2978,12,58
2020-03-15,US,,3212,12,70
2020-03-16,US,,4679,17,97
2020-03-17,US,,6512,17,134
2020-03-18,US,,9169,105,194
2020-03-19,US,,13663,121,266
2020-03-20,US,,20030,147,372
2020-03-21,US,,26025,176,475
2020-03-22,US,,34944,178,603
2020-03-23,US,,46096,178,790
2020-03-24,US,,56714,348,1033
2020-03-25,US,,68841,361,1366
2020-03-26,US,,86662,681,1783
2020-03-27,US,,105253,869,2305
2020-03-28,US,,127417,1072,3018
2020-03-29,US,,143544,2665,3573
2020-03-30,US,,165698,5644,4280
2020-03-31,US,,192079,7024,5359
2020-04-01,US,,223254,8474,6635
2020-04-02,US,,255530,9001,8142
2020-04-03,US,,287931,9707,9562
2020-04-04,US,,319776,14652,11165
2020-04-05,US,,349016,17448,12781
2020-04-06,US,,380798,19581,14523
2020-04-07,US,,410834,21763,17099
2020-04-08,US,,441897,23559,19249
2020-04-09,US,,477507,25410,21463
2020-04-10,US,,511790,28790,23649
2020-04-11,US,,540714,31270,25785
2020-04-12,US,,567022,32988,27674
2020-04-13,US,,594165,43482,29657
2020-04-14,US,,622493,47763,32132
2020-04-15,US,,648390,52096,34730
2020-04-16,US,,678028,54703,36913
2020-04-17,US,,711135,58545,39008
2020-04-18,US,,738464,64840,40954
2020-04-19,US,,763886,70337,42934
2020-04-20,US,,793970,72329,45179
2020-04-21,US,,820045,75204,47662
2020-04-22,US,,849926,77366,50128
2020-04-23,US,,881891,80203,52542
2020-04-24,US,,913856,99079,54711
2020-04-25,US,,944770,100372,56445
2020-04-26,US,,970741,106988,57850
2020-04-27,US,,995390,111424,59330
2020-04-28,US,,1019963,115936,61571
2020-04-29,US,,1046815,120720,63962
2020-04-30,US,,1076517,153947,66154
2020-05-01,US,,1111409,164015,68063
2020-05-02,US,,1138174,175382,69804
2020-05-03,US,,1161907,180152,71007
2020-05-04,US,,1185709,187180,72365
2020-05-05,US,,1209728,189791,74586
2020-05-06,US,,1234210,189910,76905
2020-05-07,US,,1261949,195036,78821
2020-05-08,US,,1289132,198993,80593
2020-05-09,US,,1313586,212534,82058
2020-05-10,US,,1332332,216169,83059
2020-05-11,US,,1351409,232733,84093
2020-05-12,US,,1374791,230287,85682
2020-05-13,US,,1394806,243430,87416
2020-05-14,US,,1420696,246414,89197
2020-05-15,US,,1445547,250747,90862
2020-05-16,US,,1469597,268376,92060
2020-05-17,US,,1488326,272265,92891
2020-05-18,US,,1510634,283178,94110
2020-05-19,US,,1531136,289392,95555
2020-05-20,US,,1553962,294312,97056
2020-05-21,US,,1579114,298418,98246
